id,order,size,cr,lambda_2,lambda_2_mult,lcr,ucr,lambda_n,lambda_n_mult,edge_orbits,vertex_orbits,group_size,bipartite,regular,1_walk_regular
55771,12,24,False,1.267949,2,False,True,6.0,4,2.0,1.0,24.0,0.0,1.0,False
55776,12,30,False,4.0,5,True,False,8.732051,2,3.0,1.0,24.0,0.0,1.0,False
55778,12,36,False,3.267949,2,False,True,8.0,5,3.0,1.0,24.0,0.0,1.0,False
88,13,12,True,1.0,11,True,True,13.0,1,1.0,2.0,479001600.0,1.0,0.0,False
21065,13,26,True,2.622797,4,True,True,6.651093,4,1.0,1.0,52.0,0.0,1.0,True
50580,13,13,True,0.229088,2,True,True,3.941884,2,1.0,1.0,26.0,0.0,1.0,True
50581,13,78,True,13.0,12,True,True,13.0,12,1.0,1.0,6227020800.0,0.0,1.0,True
51209,13,39,True,4.697224,6,True,True,8.302776,6,1.0,1.0,78.0,0.0,1.0,True
51333,13,56,False,8.0,4,False,True,13.0,2,2.0,2.0,138240.0,0.0,0.0,False
51467,13,24,False,1.0,2,True,False,7.561553,1,3.0,3.0,12.0,0.0,0.0,False
54325,13,18,False,1.0,2,True,False,5.732051,1,2.0,3.0,24.0,1.0,0.0,False
54389,13,42,False,6.0,6,False,True,13.0,1,1.0,2.0,3628800.0,1.0,0.0,False
54390,13,40,True,5.0,7,True,True,13.0,1,1.0,2.0,4838400.0,1.0,0.0,False
54391,13,36,True,4.0,8,True,True,13.0,1,1.0,2.0,8709120.0,1.0,0.0,False
54392,13,30,True,3.0,9,True,True,13.0,1,1.0,2.0,21772800.0,1.0,0.0,False
54393,13,22,True,2.0,10,True,True,13.0,1,1.0,2.0,79833600.0,1.0,0.0,False
90,14,13,True,1.0,12,True,True,14.0,1,1.0,2.0,6227020800.0,1.0,0.0,False
990,14,21,False,0.55051,1,False,True,6.0,1,3.0,4.0,48.0,1.0,1.0,False
992,14,21,False,0.585786,1,False,True,6.0,1,5.0,4.0,32.0,1.0,1.0,False
1154,14,21,True,1.585786,6,True,True,6.0,1,1.0,1.0,336.0,1.0,1.0,True
1282,14,24,True,1.438447,3,True,True,7.0,1,1.0,2.0,48.0,1.0,0.0,False
36285,14,21,False,0.75302,2,False,True,6.0,1,2.0,1.0,28.0,1.0,1.0,False
50582,14,14,True,0.198062,2,True,True,4.0,1,1.0,1.0,28.0,1.0,1.0,True
50583,14,28,True,2.585786,6,True,True,8.0,1,1.0,1.0,336.0,1.0,1.0,True
50584,14,42,True,5.0,6,True,True,12.0,1,1.0,1.0,10080.0,1.0,1.0,True
50585,14,49,True,7.0,12,True,True,14.0,1,1.0,1.0,50803200.0,1.0,1.0,True
50586,14,84,True,12.0,7,True,True,14.0,6,1.0,1.0,645120.0,0.0,1.0,True
50587,14,91,True,14.0,13,True,True,14.0,13,1.0,1.0,87178291200.0,0.0,1.0,True
51063,14,21,False,0.585786,1,False,True,6.0,1,3.0,3.0,12.0,1.0,1.0,False
51332,14,65,False,9.0,8,False,True,14.0,2,2.0,2.0,691200.0,0.0,0.0,False
51911,14,28,True,1.506041,2,True,True,7.603875,2,1.0,1.0,1792.0,0.0,1.0,True
54048,14,21,False,0.267949,1,False,True,6.0,1,4.0,3.0,64.0,1.0,1.0,False
54394,14,24,True,1.438447,3,True,True,7.0,1,1.0,2.0,384.0,1.0,0.0,False
54395,14,48,True,6.0,7,True,True,14.0,1,1.0,2.0,29030400.0,1.0,0.0,False
54396,14,45,True,5.0,8,True,True,14.0,1,1.0,2.0,43545600.0,1.0,0.0,False
54397,14,40,True,4.0,9,True,True,14.0,1,1.0,2.0,87091200.0,1.0,0.0,False
54398,14,33,True,3.0,10,True,True,14.0,1,1.0,2.0,239500800.0,1.0,0.0,False
54399,14,24,True,2.0,11,True,True,14.0,1,1.0,2.0,958003200.0,1.0,0.0,False
56146,14,28,False,1.0,1,False,True,8.0,1,2.0,2.0,1728.0,1.0,1.0,False
98,15,14,True,1.0,13,True,True,15.0,1,1.0,2.0,87178291200.0,1.0,0.0,False
19271,15,45,True,5.0,9,True,True,9.0,5,1.0,1.0,720.0,0.0,1.0,True
45597,15,30,True,2.0,5,True,True,6.0,5,1.0,1.0,120.0,0.0,1.0,True
50484,15,30,False,1.381966,2,False,True,6.0,5,2.0,2.0,20.0,0.0,1.0,False
50588,15,15,True,0.172909,2,True,True,3.956295,2,1.0,1.0,30.0,0.0,1.0,True
50589,15,45,True,4.145898,2,True,True,10.854102,2,1.0,1.0,77760.0,0.0,1.0,True
50590,15,60,True,7.0,8,True,True,12.0,2,1.0,1.0,720.0,0.0,1.0,True
50591,15,75,True,10.0,12,True,True,15.0,2,1.0,1.0,10368000.0,0.0,1.0,True
50592,15,90,True,12.0,10,True,True,15.0,4,1.0,1.0,933120.0,0.0,1.0,True
50593,15,105,True,15.0,14,True,True,15.0,14,1.0,1.0,1307674368000.0,0.0,1.0,True
51169,15,45,False,5.0,8,True,False,9.732051,2,5.0,2.0,24.0,0.0,1.0,False
51912,15,30,True,2.381966,4,True,True,7.236068,2,1.0,1.0,60.0,0.0,1.0,True
54400,15,18,True,0.697224,4,True,True,5.0,1,1.0,2.0,72.0,1.0,0.0,False
54401,15,20,True,1.0,4,True,True,6.0,1,1.0,2.0,120.0,1.0,0.0,False
54402,15,20,True,0.502788,2,True,True,6.0,1,1.0,2.0,320.0,1.0,0.0,False
54403,15,30,True,2.208712,4,True,True,9.0,1,1.0,2.0,120.0,1.0,0.0,False
54404,15,36,True,3.0,4,True,True,10.0,1,1.0,2.0,72.0,1.0,0.0,False
54405,15,36,True,2.354249,2,True,True,10.0,1,1.0,2.0,10368.0,1.0,0.0,False
54406,15,24,True,1.394449,2,True,True,10.0,1,1.0,2.0,82944.0,1.0,0.0,False
54407,15,40,True,3.55051,4,True,True,12.0,1,1.0,2.0,3840.0,1.0,0.0,False
54408,15,56,True,7.0,7,True,True,15.0,1,1.0,2.0,203212800.0,1.0,0.0,False
54409,15,60,True,6.0,5,True,True,10.0,9,1.0,1.0,720.0,0.0,1.0,True
54410,15,54,True,6.0,8,True,True,15.0,1,1.0,2.0,261273600.0,1.0,0.0,False
54411,15,50,True,5.0,9,True,True,15.0,1,1.0,2.0,435456000.0,1.0,0.0,False
54412,15,44,True,4.0,10,True,True,15.0,1,1.0,2.0,958003200.0,1.0,0.0,False
54413,15,36,True,3.0,11,True,True,15.0,1,1.0,2.0,2874009600.0,1.0,0.0,False
54414,15,26,True,2.0,12,True,True,15.0,1,1.0,2.0,12454041600.0,1.0,0.0,False
975,16,40,True,4.0,10,True,True,8.0,5,1.0,1.0,1920.0,0.0,1.0,True
1167,16,32,True,2.0,4,True,True,8.0,1,2.0,3.0,48.0,1.0,1.0,True
1229,16,24,True,1.267949,4,True,True,6.0,1,1.0,1.0,96.0,1.0,1.0,True
1308,16,48,True,4.0,6,True,True,8.0,9,1.0,1.0,192.0,0.0,1.0,True
1340,16,32,True,2.0,4,True,True,8.0,1,1.0,1.0,384.0,1.0,1.0,True
27419,16,24,False,0.763932,2,False,True,6.0,1,2.0,1.0,128.0,1.0,1.0,False
27492,16,24,False,0.318669,1,False,True,6.0,1,6.0,5.0,64.0,1.0,1.0,False
30317,16,48,True,4.0,6,True,True,8.0,9,1.0,1.0,1152.0,0.0,1.0,True
36292,16,24,False,0.585786,2,False,True,6.0,1,2.0,1.0,32.0,1.0,1.0,False
44078,16,40,False,2.224287,1,False,True,10.0,1,13.0,6.0,16.0,1.0,1.0,False
44207,16,24,False,0.299227,1,False,True,6.0,1,12.0,11.0,16.0,1.0,1.0,False
45599,16,30,True,2.0,5,True,True,8.0,1,1.0,2.0,60.0,1.0,0.0,False
49258,16,80,True,8.0,5,True,True,12.0,10,1.0,1.0,1920.0,0.0,1.0,True
50594,16,16,True,0.152241,2,True,True,4.0,1,1.0,1.0,32.0,1.0,1.0,True
50595,16,48,True,4.0,3,True,True,12.0,1,1.0,1.0,12288.0,1.0,1.0,True
50596,16,56,True,6.0,7,True,True,14.0,1,1.0,1.0,80640.0,1.0,1.0,True
50597,16,64,True,8.0,14,True,True,16.0,1,1.0,1.0,3251404800.0,1.0,1.0,True
50599,16,96,True,12.0,12,True,True,16.0,3,1.0,1.0,7962624.0,0.0,1.0,True
50600,16,112,True,14.0,8,True,True,16.0,7,1.0,1.0,10321920.0,0.0,1.0,True
50601,16,120,True,16.0,15,True,True,16.0,15,1.0,1.0,20922789888000.0,0.0,1.0,True
51448,16,72,True,8.0,9,True,True,12.0,6,2.0,1.0,192.0,0.0,1.0,True
51913,16,32,True,1.171573,2,True,True,8.0,1,1.0,1.0,4096.0,1.0,1.0,True
52594,16,32,True,2.0,2,True,True,8.0,1,5.0,2.0,12.0,1.0,1.0,False
54051,16,24,False,0.186393,1,False,True,6.0,1,5.0,3.0,64.0,1.0,1.0,False
54052,16,32,False,0.354249,1,False,True,8.0,1,3.0,2.0,5184.0,1.0,1.0,False
54415,16,24,True,0.837722,2,True,True,8.0,1,1.0,2.0,10368.0,1.0,0.0,False
54416,16,24,True,1.171573,3,True,True,8.0,1,1.0,2.0,1536.0,1.0,0.0,False
54417,16,36,True,2.535898,3,True,True,12.0,1,1.0,2.0,31104.0,1.0,0.0,False
54418,16,63,True,7.0,8,True,True,16.0,1,1.0,2.0,1828915200.0,1.0,0.0,False
54419,16,72,True,8.0,9,True,True,12.0,6,1.0,1.0,1152.0,0.0,1.0,True
54420,16,60,True,6.0,9,True,True,16.0,1,1.0,2.0,2612736000.0,1.0,0.0,False
54421,16,55,True,5.0,10,True,True,16.0,1,1.0,2.0,4790016000.0,1.0,0.0,False
54422,16,48,True,4.0,11,True,True,16.0,1,1.0,2.0,11496038400.0,1.0,0.0,False
54423,16,39,True,3.0,12,True,True,16.0,1,1.0,2.0,37362124800.0,1.0,0.0,False
54424,16,28,True,2.0,13,True,True,16.0,1,1.0,2.0,174356582400.0,1.0,0.0,False
54425,16,15,True,1.0,14,True,True,16.0,1,1.0,2.0,1307674368000.0,1.0,0.0,False
30395,17,68,True,6.438447,8,True,True,10.561553,8,1.0,1.0,136.0,0.0,1.0,True
50602,17,17,True,0.135056,2,True,True,3.965946,2,1.0,1.0,34.0,0.0,1.0,True
50603,17,136,True,17.0,16,True,True,17.0,16,1.0,1.0,355687428100000.0,0.0,1.0,True
51210,17,34,True,1.950519,4,True,True,6.905704,4,1.0,1.0,68.0,0.0,1.0,True
54426,17,72,True,8.0,8,True,True,17.0,1,1.0,2.0,14631321600.0,1.0,0.0,False
54427,17,70,True,7.0,9,True,True,17.0,1,1.0,2.0,18289152000.0,1.0,0.0,False
54428,17,66,True,6.0,10,True,True,17.0,1,1.0,2.0,28740096000.0,1.0,0.0,False
54429,17,60,True,5.0,11,True,True,17.0,1,1.0,2.0,57480192000.0,1.0,0.0,False
54430,17,52,True,4.0,12,True,True,17.0,1,1.0,2.0,149448499200.0,1.0,0.0,False
54431,17,42,True,3.0,13,True,True,17.0,1,1.0,2.0,523069747200.0,1.0,0.0,False
54432,17,30,True,2.0,14,True,True,17.0,1,1.0,2.0,2615348736000.0,1.0,0.0,False
54433,17,16,True,1.0,15,True,True,17.0,1,1.0,2.0,20922789888000.0,1.0,0.0,False
1116,18,45,False,3.0,6,True,False,9.0,2,2.0,1.0,432.0,0.0,1.0,False
1248,18,27,True,1.267949,6,True,True,6.0,1,1.0,1.0,216.0,1.0,1.0,True
33797,18,27,False,1.0,1,False,True,6.0,1,3.0,2.0,24.0,1.0,1.0,False
33803,18,27,False,1.030384,2,False,True,6.0,1,3.0,1.0,18.0,1.0,1.0,False
34002,18,36,False,1.438447,1,False,True,6.0,6,4.0,3.0,16.0,0.0,1.0,False
36295,18,27,False,0.467911,2,False,True,6.0,1,2.0,1.0,36.0,1.0,1.0,False
44209,18,27,False,0.55051,1,False,True,6.0,1,4.0,5.0,48.0,1.0,1.0,False
44211,18,27,False,0.475662,1,False,True,6.0,1,8.0,8.0,32.0,1.0,1.0,False
44213,18,27,False,0.360035,1,False,True,6.0,1,12.0,11.0,16.0,1.0,1.0,False
44215,18,27,False,0.55051,2,False,True,6.0,1,2.0,3.0,288.0,1.0,1.0,False
